pair_id,family,n,lam2_A,lam2_B,winner,method,mean_t90_A,mean_t90_B,delta,effect_size,censoring_A,censoring_B,n_events_A,n_events_B,gsm_score_A,gsm_score_B,gsm_prediction,gsm_correct,front_vel_A,front_vel_B,movement_mode,gsm_type
1,A,8,0.9487,0.5286,B,mean_t90,39.97,39.9,-0.07,-0.018,0.0,0.0,30,30,0.5018,0.642,B,True,,,frontier,coverage
2,A,10,1.0923,0.1419,B,mean_t90,37.1,36.57,-0.53,-0.188,0.0,0.0,30,30,0.4922,0.9832,B,True,,,frontier,coverage
3,A,12,0.7815,0.3178,A,mean_t90,35.1,35.33,0.23,0.109,0.0,0.0,30,30,0.5974,0.7609,B,False,,,frontier,coverage
4,A,14,0.5626,0.0443,B,mean_t90,34.33,33.83,-0.5,-0.201,0.0,0.0,30,30,0.6922,2.0926,B,True,,,frontier,coverage
5,A,16,1.0076,0.1675,B,mean_t90,32.7,32.2,-0.5,-0.358,0.0,0.0,30,30,0.5955,1.1718,B,True,,,frontier,coverage
6,A,20,0.6466,0.1156,B,mean_t90,31.23,30.9,-0.33,-0.183,0.0,0.0,30,30,0.7912,1.4297,B,True,,,frontier,coverage
7,B,8,2.1556,0.0506,B,mean_t90,53.43,51.7,-1.73,-0.495,0.0,0.0,30,30,0.3883,0.9442,B,True,,,frontier,coverage
8,B,10,1.681,0.0343,B,mean_t90,50.67,50.23,-0.43,-0.135,0.0,0.0,30,30,0.4211,1.0218,B,True,,,frontier,coverage
9,B,12,2.0138,0.0247,B,mean_t90,49.33,46.37,-2.97,-0.826,0.0,0.0,30,30,0.4363,1.0771,B,True,,,frontier,coverage
10,B,14,0.5371,0.015,B,mean_t90,47.93,40.73,-7.2,-1.422,0.0,0.0,30,30,0.724,1.156,B,True,,,frontier,coverage
11,B,16,0.6741,0.0117,B,mean_t90,46.0,33.53,-12.47,-1.655,0.0,0.0,30,30,0.7427,1.1811,B,True,,,frontier,coverage
12,B,18,0.4339,0.0093,B,mean_t90,44.4,30.63,-13.77,-1.717,0.0,0.0,30,30,0.8538,1.1997,B,True,,,frontier,coverage
13,C,8,1.2512,0.3605,A,mean_t90,51.23,52.0,0.77,0.209,0.0,0.0,30,30,0.4404,0.8115,B,False,,,frontier,coverage
14,C,10,1.1124,0.3272,B,mean_t90,49.53,49.37,-0.17,-0.07,0.0,0.0,30,30,0.4911,0.8058,B,True,,,frontier,coverage
15,C,12,0.9571,0.5079,B,mean_t90,48.7,47.57,-1.13,-0.469,0.0,0.0,30,30,0.5565,0.7401,B,True,,,frontier,coverage
16,C,14,0.8325,0.0592,B,mean_t90,47.4,46.63,-0.77,-0.305,0.0,0.0,30,30,0.5958,0.9024,B,True,,,frontier,coverage
17,C,16,0.962,0.0473,A,mean_t90,44.63,45.07,0.43,0.215,0.0,0.0,30,30,0.6077,0.9507,B,False,,,frontier,coverage
18,C,18,0.8446,0.0387,B,mean_t90,45.27,42.53,-2.73,-1.09,0.0,0.0,30,30,0.6914,0.9911,B,True,,,frontier,coverage
19,D,10,0.7919,0.0843,A,mean_t90,37.57,38.13,0.57,0.188,0.0,0.0,30,30,0.5477,1.2026,B,False,,,frontier,coverage
20,D,12,0.899,0.0645,A,mean_t90,35.3,35.43,0.13,0.044,0.0,0.0,30,30,0.535,1.2899,B,False,,,frontier,coverage
21,D,14,0.9616,0.0496,B,mean_t90,34.43,32.93,-1.5,-0.553,0.0,0.0,30,30,0.5904,1.3805,B,True,,,frontier,coverage
22,D,16,0.8214,0.0401,B,mean_t90,34.2,28.6,-5.6,-1.416,0.0,0.0,30,30,0.6503,1.464,B,True,,,frontier,coverage
23,D,18,0.6333,0.0327,B,mean_t90,32.7,26.13,-6.57,-1.557,0.0,0.0,30,30,0.7178,1.5434,B,True,,,frontier,coverage
24,D,20,0.6798,0.0274,B,mean_t90,30.97,23.9,-7.07,-1.536,0.0,0.0,30,30,0.7736,1.6143,B,True,,,frontier,coverage
25,E,8,2.1556,0.5286,B,mean_t90,44.93,43.6,-1.33,-0.347,0.0,0.0,30,30,0.3883,0.642,B,True,,,frontier,coverage
26,E,10,1.681,0.1419,B,mean_t90,42.5,41.07,-1.43,-0.535,0.0,0.0,30,30,0.4211,0.9832,B,True,,,frontier,coverage
27,E,12,2.0138,0.2576,B,mean_t90,40.97,39.1,-1.87,-0.821,0.0,0.0,30,30,0.4363,0.9518,B,True,,,frontier,coverage
28,E,14,1.8639,0.0892,B,mean_t90,39.63,37.8,-1.83,-0.861,0.0,0.0,30,30,0.4679,1.3217,B,True,,,frontier,coverage
29,E,16,2.1965,0.0963,B,mean_t90,38.7,36.4,-2.3,-1.083,0.0,0.0,30,30,0.4795,1.4864,B,True,,,frontier,coverage
30,E,18,1.591,0.0542,B,mean_t90,37.13,35.57,-1.57,-0.804,0.0,0.0,30,30,0.5231,1.8164,B,True,,,frontier,coverage
31,F,10,0.5294,0.0843,A,mean_t90,45.4,45.47,0.07,0.029,0.0,0.0,30,30,0.6264,1.2026,B,False,,,frontier,coverage
32,F,12,0.6511,0.6536,A,mean_t90,43.27,43.4,0.13,0.072,0.0,0.0,30,30,0.6421,0.602,A,True,,,frontier,coverage
33,F,14,0.5371,0.0892,B,mean_t90,41.47,40.63,-0.83,-0.381,0.0,0.0,30,30,0.724,1.3217,B,True,,,frontier,coverage
34,F,16,0.6741,0.5324,A,mean_t90,40.0,40.03,0.03,0.016,0.0,0.0,30,30,0.7427,0.7181,A,True,,,frontier,coverage
35,F,18,0.4339,0.2425,A,mean_t90,38.77,39.73,0.97,0.499,0.0,0.0,30,30,0.8538,0.9778,B,False,,,frontier,coverage
36,F,20,0.47,0.3619,A,mean_t90,37.7,38.93,1.23,0.699,0.0,0.0,30,30,0.8834,0.8857,B,False,,,frontier,coverage
37,SHOWCASE,16,0.8681,0.0963,B,mean_t90,33.0,32.3,-0.7,-0.39,0.0,0.0,30,30,0.65,1.4864,B,True,,,frontier,coverage
